S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
679,1,0,0.199,0.801,Kyle,Ser,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0267558528428093,1
1575,1,1,0.831,0.169,Nestor Royce,Keeper of the Gates of the Moon,1.0,,,,,,,House Royce of the Gates of the Moon,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0869565217391304,1
566,1,1,0.979,0.021,Gyloro Dothare,,1.0,Braavosi,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
510,1,1,0.991,0.009,Ferny,,0.0,Free Folk,,,,,,,Craster,0.0,0.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,,0.0,0,0.0,0.0167224080267558,1
572,1,0,0.267,0.733,Haldon,,1.0,,,,,,,House Targaryen,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.127090301003344,1
1371,1,1,0.805,0.195,Steffon Swyft,Ser,1.0,,,,,,,House Swyft,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0301003344481605,1
620,1,1,0.822,0.178,Jaggot,,0.0,Vale mountain clans,,,,,,Stone Crows,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0,1
1440,1,1,0.957,0.043,Warryn Beesbury,Lord of Honeyholt,0.0,,,,,,,House Beesbury,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0066889632107023,1
136,0,1,0.746,0.254,Ryles,,0.0,,,299.0,,,,Night's Watch,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,0
1658,0,0,0.263,0.737,Bethany Bracken,,0.0,,156.0,178.0,,,,House Bracken,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,22.0,0.0,0,0.0,0.0301003344481605,0
1181,1,0,0.255,0.745,Lyessa Flint,Widow's Watch,0.0,Northmen,,,,,,House Flint of Widow's Watch,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0367892976588628,1
255,1,1,0.76,0.24,Wat (Barleycorn),,1.0,,,,,,,House Osgrey,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0066889632107023,1
1223,0,0,0.001,0.999,Medger Cerwyn,Cerwyn,1.0,Northmen,,299.0,,,,House Cerwyn,,1.0,1.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.06666666666666667,1,0.0,0.0635451505016722,0
1924,1,1,0.57,0.43,Desmond Grell,Ser,0.0,,237.0,,,,,House Grell,,1.0,1.0,1.0,1.0,0.0,,,,,0.0,1.0,68.0,0.0,0,0.0,0.0769230769230769,1
529,0,0,0.374,0.626,Garth of Oldtown,,0.0,,,299.0,,,,Night's Watch,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.020066889632107,0
113,1,1,0.993,0.007,Rolder,,1.0,,,,,,,House Lannister,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0,1
1243,1,1,0.753,0.247,Morya Frey,Lady,0.0,,268.0,,,,,House Frey,Flement Brax,0.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,37.0,0.0,0,0.0,0.120401337792642,1
541,1,1,0.998,0.002,Gormond Drumm,,1.0,Ironborn,,,,,,House Drumm,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0066889632107023,1
1785,0,0,0.45,0.55,Renly Baratheon,Lord Paramount of the Stormlands,1.0,Stormlands,277.0,299.0,,,,House Baratheon,Margaery Tyrell,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,22.0,0.13333333333333333,1,1.0,1.0,0
618,0,0,0.034,0.966,Jaehaerys Targaryen (son of Aegon II),Prince,1.0,,123.0,129.0,,,,House Targaryen,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,6.0,0.0,0,0.0,0.187290969899665,0
98,1,1,0.718,0.282,Robb Reyne,Ser,1.0,,,,,,,House Reyne,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0066889632107023,1
94,1,0,0.03,0.97,Richard Lonmouth,Ser,1.0,,,,,,,House Lonmouth,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0234113712374581,1
881,1,1,0.693,0.307,Albett,,1.0,,,,,,,Night's Watch,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0334448160535117,1
435,1,1,0.907,0.093,Daeryssa,Princess,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0066889632107023,1
1913,0,0,0.002,0.998,Stiv,,0.0,Wildlings,,298.0,,,,Night's Watch,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0334448160535117,0
539,1,1,0.99,0.01,Goady,,0.0,,,,,,,Night's Watch,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,1
917,1,0,0.204,0.796,Artos Stark,,1.0,Northmen,,,,,,House Stark,Lysara Karstark,0.0,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,,0.0,0,0.0,0.103678929765886,1
1708,1,1,0.689,0.311,Gerold Dayne,Ser,1.0,Dorne,270.0,,,,,House Dayne of High Hermitage,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,35.0,0.0,0,0.0,0.107023411371237,1
1784,1,1,0.767,0.233,Smiling Knight,,1.0,,,,,,,Kingswood Brotherhood,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.040133779264214,1
1092,0,0,0.486,0.514,Helman Tallhart,Ser,1.0,Northmen,,299.0,,,,House Tallhart,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.130434782608695,0
1104,1,1,0.976,0.024,Hugo Vance,Ser,1.0,,,,,,,House Vance of Atranta,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0267558528428093,1
527,1,1,0.989,0.011,Garrett Paege,,1.0,,,,,,,House Paege,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1168,1,1,0.754,0.246,Leslyn Haigh,Ser,0.0,,,,,,,House Haigh,Perriane Frey,0.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.0869565217391304,1
316,1,1,0.976,0.024,Ambrode,,0.0,Ironborn,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0033444816053511,1
1718,0,0,0.193,0.807,Guyard Morrigen,Ser,1.0,,278.0,299.0,,,,House Morrigen,,0.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,21.0,0.0,0,0.0,0.0635451505016722,0
377,1,0,0.277,0.723,Brandon Stark (the daughterless),Winterfell,1.0,Northmen,,,,,,House Stark,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0334448160535117,1
1499,1,1,0.676,0.324,Eddison Tollett,,1.0,Valemen,,,,,,House Tollett,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.100334448160535,1
271,1,1,0.651,0.349,Tobho Mott,,1.0,Qohor,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0836120401337792,1
682,1,0,0.318,0.682,Kyleg,,0.0,Free Folk,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0100334448160535,1
863,0,1,0.759,0.241,Praed,,1.0,,,299.0,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,0
1434,1,1,0.53,0.47,Waldon Wynch,Lord of Iron Holt,1.0,Ironborn,,,,,,House Wynch,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0234113712374581,1
538,0,0,0.001,0.999,Glendon Flowers,Ser,1.0,,196.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,100.0,0.0,0,0.0,0.0802675585284281,0
1150,1,1,0.759,0.241,Kezmya,Cupbearer,0.0,Ghiscari,,,,,,House of Pahl,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0167224080267558,1
908,1,1,0.813,0.187,Andrew Estermont,Ser,1.0,,,,,,,House Estermont,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0367892976588628,1
414,1,0,0.207,0.793,Clarence Crabb,Ser,1.0,,,,,,,House Crabb,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0267558528428093,1
15,1,1,0.705,0.295,Will (Treb),,1.0,,,,,,,House Osgrey,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0033444816053511,1
1509,1,0,0.136,0.864,Gerris Drinkwater,Ser,1.0,Dornish,275.0,,,,,House Drinkwater,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,30.0,0.0,0,0.0,0.157190635451505,1
1917,1,1,0.53,0.47,Tygett Lannister,Ser,1.0,,250.0,,,,,House Lannister,Darlessa Marbrand,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,55.0,0.0,0,0.0,0.110367892976588,1
373,1,0,0.212,0.788,Borroq,,1.0,Free folk,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0267558528428093,1
343,1,1,0.998,0.002,Belandra,,0.0,,,,,,,House Martell,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0066889632107023,1
1357,1,1,0.976,0.024,Selmond Stackspear,Lord,0.0,,,,,,,House Stackspear,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.020066889632107,1
172,1,1,0.747,0.253,Steffon Hollard,Ser,0.0,,,,,,,House Hollard,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0267558528428093,1
1027,0,0,0.01,0.99,Eroeh,,0.0,Lhazareen,,298.0,,,,,,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0334448160535117,0
1284,1,1,0.75,0.25,Perriane Frey,,0.0,,241.0,,,,,House Haigh,Leslyn Haigh,0.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,64.0,0.0,0,0.0,0.0735785953177257,1
44,1,1,0.996,0.004,Zarabelo,Archmaester,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0066889632107023,1
287,0,0,0.057,0.943,Aegon Targaryen (son of Aenys I),Prince,1.0,Valyrian,26.0,43.0,,,,House Targaryen,Rhaena Targaryen,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,17.0,0.0,0,0.0,0.0,0
1910,0,1,0.981,0.019,Rossart,Hand of the King,1.0,,,283.0,,,,Alchemists' Guild,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,1.0,0.367892976588628,0
300,1,1,0.948,0.052,Alester Oakheart,,1.0,,,,,,,House Oakheart,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,1
1183,1,1,0.761,0.239,Lymond Goodbrook,Lord,1.0,,,,,,,House Goodbrook,,0.0,0.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0267558528428093,1
389,1,1,0.755,0.245,Buford Bulwer,Ser,1.0,,,,,,,House Bulwer,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0167224080267558,1
1749,0,1,0.828,0.172,Kedry,Maester,1.0,,,300.0,,,,,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0301003344481605,0
142,1,1,0.718,0.282,Salloreon,,1.0,,,,,,,Antler Men,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
890,0,0,0.114,0.886,Alyn Cockshaw,Lord,1.0,,,211.0,,,,House Cockshaw,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.040133779264214,0
412,1,1,0.674,0.326,Cheyk,,0.0,,,,,,,Black Ears,,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0133779264214046,1
1586,1,1,0.842,0.158,Osney Kettleblack,Ser,1.0,,,,,,,House Kettleblack,,0.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.123745819397993,1
187,1,0,0.21,0.79,Tarber,,1.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0334448160535117,1
312,0,0,0.2,0.8,Alysanne Osgrey,,0.0,,188.0,209.0,,,,House Osgrey,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,21.0,0.0,0,0.0,0.0267558528428093,0
899,1,0,0.367,0.633,Alysanne Lefford,Golden Tooth,0.0,,,,,,,House Lefford,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,1.0,,0.0,0,0.0,0.0133779264214046,1
1517,0,0,0.066,0.934,Helaena Targaryen,Queen,0.0,,109.0,130.0,,,,House Targaryen,Aegon II,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,21.0,0.0,0,0.0,0.270903010033444,0
1731,0,0,0.213,0.787,Holly,,1.0,Free Folk,283.0,300.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,17.0,0.0,0,0.0,0.0568561872909698,0
1303,0,1,0.738,0.262,Raynald Westerling,Ser,1.0,,,299.0,,,,House Westerling,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0702341137123745,0
1625,1,1,0.579,0.421,Alannys Harlaw,Iron Islands,0.0,Ironborn,,,,,,House Greyjoy,Balon Greyjoy,1.0,1.0,0.0,1.0,1.0,,,,0.0,1.0,1.0,,0.0,0,0.0,0.237458193979933,1
1618,0,0,0.127,0.873,Oznak zo Pahl,,1.0,Meereen,,299.0,,,,House of Pahl,,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.0,0,0.0,0.0568561872909698,0
64,1,1,0.984,0.016,Quill,,1.0,Braavosi,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0,0.0,0.0167224080267558,1
817,1,1,0.996,0.004,Ocley,Archmaester,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0066889632107023,1
1180,1,1,0.51,0.49,Lyanna Mormont,,1.0,Northmen,290.0,,,,,House Mormont,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,15.0,0.06666666666666667,1,0.0,0.0568561872909698,1
1491,0,1,0.747,0.253,Cressen,Maester,1.0,,219.0,299.0,,,,,,0.0,1.0,1.0,1.0,0.0,,,,,0.0,1.0,80.0,0.0,0,0.0,0.183946488294314,0
578,0,1,0.598,0.402,Harlan Grandison,Ser,1.0,,,281.0,,,,House Grandison,,0.0,0.0,1.0,0.0,0.0,,,,,0.0,1.0,,0.0,0,0.0,0.0167224080267558,0
1024,1,1,0.786,0.214,Elyn Norridge,,0.0,,,,,,,House Norridge,Luthor Tyrell,0.0,0.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,,0.0,0,0.0,0.127090301003344,1
1529,1,1,0.835,0.165,Jon Bulwer,Blackcrown,1.0,,,,,,,House Bulwer,Victaria Tyrell,0.0,0.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,,0.0,0,0.0,0.137123745819397,1
